"COD_MUNICIPIO","MUNICIPIO","QTD_INTERNACOES","PERMANENCIA_MEDIA","TAXA_MORTALIDADE_PCT","VALOR_MEDIO_INTERNACAO","QTD_ESTAB_HOSPITALARES","POPULACAO","INTERNACOES_POR_MIL_HAB"
"352320","Itararé",326,2.82,7.36,1147.93,0,44438,7.34
"353790","Pilar do Sul",196,3.85,6.63,770.48,0,27619,7.1
"354050","Porangaba",45,7.18,6.67,2502.52,0,10451,4.31
"353170","Monteiro Lobato",20,3.2,0,1444.35,0,4138,4.83
"354960","São José do Barreiro",14,3.93,21.43,641.65,0,3853,3.63
"350500","Barão de Antonina",22,4,13.64,844.47,0,3531,6.23
"351840","Guaratinguetá",657,6.46,9.28,2058.47,0,118044,5.57
"352610","Juquiá",81,4.48,9.88,1237.02,0,17154,4.72
"351940","Ibirá",139,5.41,6.47,2472.68,0,11690,11.89
"350630","Bernardino de Campos",74,4.05,13.51,1430.8,0,11607,6.38
"355260","Tabapuã",66,7.15,10.61,2919.29,0,11323,5.83
"350510","Barbosa",25,4.24,16,1098.65,0,5640,4.43
"354990","São José dos Campos",2826,5.13,9.06,1538.64,0,697054,4.05
"352220","Itapecerica da Serra",1047,4.38,5.06,1527.97,0,158522,6.6
"355700","Votorantim",488,4.55,7.99,1685.59,0,127923,3.81
"350990","Cananéia",66,5.48,13.64,1721.8,0,12289,5.37
"354230","Redenção da Serra",26,3.23,7.69,1062.18,0,4494,5.79
"354040","Populina",33,3.21,12.12,1846.96,0,4127,8
"354625","Santa Cruz da Esperança",20,3.6,5,1271.65,0,2116,9.45
"354390","Rio Claro",610,4.49,5.9,2233.82,0,201418,3.03
"352230","Itapetininga",707,5.59,11.74,1301.9,0,157790,4.48
"355710","Votuporanga",481,4.7,5.2,1552.75,0,96634,4.98
"354130","Presidente Epitácio",231,3.48,6.06,783.42,0,39505,5.85
"350270","Apiaí",142,3.11,7.04,819.9,0,24585,5.78
"354710","Santa Mercedes",17,2.88,11.76,649.37,0,2956,5.75
"354720","Santana da Ponte Pensa",5,6.2,0,1286.89,0,1670,2.99
"354980","São José do Rio Preto",2530,5.91,4.78,2283.76,0,480393,5.27
"352240","Itapeva",277,6.02,8.66,2634.37,0,89728,3.09
"352720","Lorena",491,5.26,11.61,1581.6,0,84855,5.79
"355500","Tupã",421,8.8,7.13,1411.27,0,63928,6.59
"352270","Itápolis",338,3.42,7.99,1504.19,0,39493,8.56
"351820","Guararapes",123,4.67,7.32,2476.22,0,31043,3.96
"352800","Macatuba",150,3.79,6,1238.52,0,16829,8.91
"353520","Palmeira d'Oeste",91,3.01,4.4,746.58,0,8903,10.22
"350260","Aparecida d'Oeste",31,2.45,3.23,2760.02,0,4086,7.59
"352200","Itaju",30,2.53,10,825.77,0,3618,8.29
"351495","Embaúba",10,4.4,10,5097.83,0,2323,4.3
"355465","Torre de Pedra",15,5.47,0,1727.39,0,2046,7.33
"353100","Monções",16,3.94,0,948.53,0,1937,8.26
"354870","São Bernardo do Campo",2915,6.1,6.42,2039.32,0,810729,3.6
"351100","Castilho",116,3.72,7.76,1470.78,0,19977,5.81
"352550","Joanópolis",87,6.09,9.2,1365.86,0,12815,6.79
"352020","Igaratá",69,4.74,1.45,1599.79,0,10605,6.51
"354370","Rincão",67,4.12,7.46,1885.82,0,9098,7.36
"352115","Ipiguá",38,4.66,7.89,1769.06,0,6761,5.62
"352420","Jaborandi",29,4.86,13.79,1528.43,0,6221,4.66
"354460","Sabino",31,5.52,0,899.06,0,5112,6.06
"352120","Iporanga",16,11.13,12.5,11600.23,0,4046,3.95
"354840","Santópolis do Aguapeí",11,5.09,0,3936.67,0,3899,2.82
"350110","Alto Alegre",21,3.67,4.76,1091.56,0,3841,5.47
"355120","Sarutaiá",24,5.21,12.5,1167.38,0,3704,6.48
"354850","Santos",1414,5.89,8.84,2221.31,0,418608,3.38
"350450","Avaré",448,4.45,2.46,1607.76,0,92805,4.83
"351960","Ibitinga",362,4.14,3.59,1283.3,0,60033,6.03
"350590","Batatais",471,4.69,5.94,1880.27,0,58402,8.06
"350560","Barrinha",132,5.08,6.06,2020.3,0,32092,4.11
"352010","Igarapava",95,3.81,8.42,1075.79,0,26212,3.62
"352970","Miguelópolis",142,3.66,3.52,1287.73,0,19441,7.3
"354080","Potirendaba",137,4.2,5.11,1500.89,0,18496,7.41
"353900","Pirangi",79,3.8,5.06,1510.76,0,10885,7.26
"355000","São Luiz do Paraitinga",53,5.66,5.66,2712.75,0,10337,5.13
"350490","Bananal",24,6.54,16.67,770.92,0,9969,2.41
"354650","Santa Ernestina",35,3.31,8.57,1481.79,0,6118,5.72
"350910","Caiuá",19,4.05,0,630.74,0,5466,3.48
"353715","Pedrinhas Paulista",9,3.78,44.44,2639.29,0,2804,3.21
"351530","Estrela do Norte",15,9.07,6.67,960.43,0,2703,5.55
"354765","Santa Salete",14,2.71,7.14,892.3,0,1645,8.51
"355220","Sorocaba",2216,5.01,9.43,1888,0,723682,3.06
"352930","Matão",391,5.19,11.25,1718.5,0,79033,4.95
"350520","Bariri",211,3.48,7.58,844.67,0,31595,6.68
"351030","Capela do Alto",71,6.55,5.63,1612.44,0,22866,3.11
"353282","Nova Campina",12,5.17,8.33,1200.23,0,8497,1.41
"351780","Guaraçaí",47,3.81,2.13,1191.68,0,7441,6.32
"350310","Arandu",42,4.36,7.14,1078.57,0,6885,6.1
"352910","Marinópolis",19,7.11,5.26,4079.75,0,1860,10.22
"351500","Embu das Artes",1369,5.07,6.14,1419.48,0,250691,5.46
"354330","Ribeirão Pires",449,4.87,8.24,1390.73,0,115559,3.89
"353730","Penápolis",350,4.95,10,1692.12,0,61679,5.67
"355210","Socorro",281,3.83,7.12,1250.42,0,40122,7
"351240","Cordeirópolis",82,6.26,3.66,1769.64,0,24514,3.35
"352350","Itatinga",119,4.72,6.72,1946.03,0,19070,6.24
"354150","Presidente Venceslau",187,4.94,5.35,1308.27,0,35201,5.31
"351200","Colina",121,3.07,2.48,836.97,0,18486,6.55
"355610","Valentim Gentil",81,3.84,9.88,2056.08,0,14098,5.75
"355080","São Sebastião da Grama",93,5.28,6.45,1341.03,0,10441,8.91
"350340","Arealva",52,4.71,9.62,1395.53,0,8130,6.4
"355320","Taiúva",20,5.1,5,2094.85,0,6548,3.05
"353570","Paraíso",26,2.5,11.54,1469.19,0,6099,4.26
"354180","Queiroz",11,6.09,0,1294.68,0,3265,3.37
"350320","Araraquara",995,4.44,6.73,1545.73,0,242228,4.11
"351970","Ibiúna",330,4.72,10,1377.88,0,75605,4.36
"350030","Aguaí",151,4.85,8.61,1220.97,0,32072,4.71
"351160","Cesário Lange",100,4.57,14,1077.62,0,19048,5.25
"354500","Salesópolis",110,5.68,11.82,1597.52,0,15202,7.24
"353360","Nuporanga",33,5.24,9.09,1313.62,0,7391,4.46
"354790","Santo Antônio da Alegria",70,4.2,2.86,2162.67,0,6775,10.33
"354480","Sales",29,3.83,17.24,1618.39,0,6437,4.51
"354810","Santo Antônio do Jardim",39,10.97,0,5771.17,0,6126,6.37
"350020","Adolfo",41,5.49,17.07,1903.41,0,4351,9.42
"354025","Pontalinda",38,2.61,10.53,850.8,0,4127,9.21
"351330","Cruzália",11,4.55,0,482.91,0,2108,5.22
"353286","Nova Castilho",2,2,0,487.94,0,1062,1.88
"353440","Osasco",2967,5.45,7.65,1553.14,0,728615,4.07
"353070","Mogi Guaçu",644,6.31,6.68,1710.27,0,153658,4.19
"354520","Salto",442,4.68,10.86,1579.77,0,134319,3.29
"350790","Brotas",124,4.04,8.06,1101.46,0,23898,5.19
"351490","Elias Fausto",63,3.92,11.11,1383.62,0,17699,3.56
"355140","Serra Azul",66,7.23,10.61,3186.2,0,12746,5.18
"350930","Cajobi",61,4.11,13.11,1309.65,0,9133,6.68
"355495","Tuiuti",31,3.29,12.9,1441.34,0,6778,4.57
"350770","Braúna",20,5,0,2582.67,0,5356,3.73
"352770","Luiziânia",22,3.91,13.64,3261.99,0,4701,4.68
"350890","Caiabu",40,5.45,7.5,1442.65,0,3712,10.78
"355650","Várzea Paulista",358,3.73,7.54,1374.47,0,115771,3.09
"352680","Lençóis Paulista",363,4.41,5.79,1344.28,0,66505,5.46
"353030","Mirassol",363,4.85,1.93,2184.27,0,63337,5.73
"350970","Campos do Jordão",253,5.38,7.91,1126.49,0,46974,5.39
"351518","Espírito Santo do Pinhal",345,12.83,5.22,1726.92,0,39816,8.66
"350220","Angatuba",147,5.04,6.8,1386.28,0,24022,6.12
"354760","Santa Rosa de Viterbo",135,5.1,5.93,2338.92,0,23411,5.77
"350710","Bom Jesus dos Perdões",110,4.35,9.09,1592.01,0,22006,5
"351750","Guapiaçu",122,5.42,4.92,2677.09,0,21711,5.62
"354600","Santa Branca",61,3.61,6.56,1692.17,0,13975,4.36
"352290","Itapuí",56,5.09,12.5,1742.08,0,13659,4.1
"353720","Pedro de Toledo",41,4.44,14.63,817.08,0,11281,3.63
"351790","Guaraci",32,4.16,9.38,2205.98,0,10350,3.09
"353590","Paranapuã",33,4.67,15.15,2165.04,0,4031,8.19
"354610","Santa Clara d'Oeste",16,7.44,12.5,2017.42,0,2598,6.16
"354400","Rio das Pedras",139,3.77,11.51,1408.04,0,31328,4.44
"352990","Miracatu",98,4.19,8.16,1345.57,0,18553,5.28
"354425","Rosana",180,6.24,8.89,971.42,0,17440,10.32
"351760","Guapiara",82,3.51,3.66,824.12,0,17071,4.8
"350480","Bálsamo",69,6.52,1.45,2379.22,0,9596,7.19
"350640","Bilac",37,4.16,5.41,2159.95,0,7319,5.06
"352750","Lucianópolis",29,3.83,0,1144.26,0,2372,12.23
"353310","Nova Guataporanga",8,3.25,0,2128.34,0,2156,3.71
"352965","Mesópolis",14,4.71,7.14,822.31,0,1952,7.17
"351565","Fernão",9,5.78,11.11,936.06,0,1656,5.43
"354140","Presidente Prudente",1211,5.73,4.95,1443.19,0,225668,5.37
"350460","Bady Bassitt",178,5.29,3.93,2927.25,0,27260,6.53
"353475","Ouroeste",56,5.48,3.57,1752.06,0,10294,5.44
"353230","Natividade da Serra",33,3.58,0,1414.71,0,6999,4.71
"352830","Magda",14,3.43,7.14,1606.12,0,3165,4.42
"350280","Araçatuba",542,8.54,11.44,3449.91,0,200124,2.71
"350330","Araras",478,9.78,3.56,1538.86,0,130866,3.65
"354770","Santo Anastácio",188,4.6,5.32,1022.96,0,17963,10.47
"355680","Viradouro",92,2.96,6.52,1215.54,0,17414,5.28
"350670","Boa Esperança do Sul",74,4,4.05,2552.48,0,12978,5.7
"354540","Salto Grande",85,3.66,8.24,1118.4,0,9050,9.39
"351400","Dobrada",42,5.12,7.14,1431.71,0,8759,4.8
"350370","Ariranha",32,5.31,12.5,4462.56,0,7602,4.21
