COD_MUNICIPIO,MUNICIPIO,QTD_INTERNACOES,PERMANENCIA_MEDIA,TAXA_MORTALIDADE_PCT,VALOR_MEDIO_INTERNACAO,QTD_ESTAB_HOSPITALARES,POPULACAO,INTERNACOES_POR_MIL_HAB,internacoes_esperadas,razao_obs_esperado,cluster
352220,Itapecerica da Serra,1047,4.38,5.06,1527.97,2,158522,6.6,704.7982204414116,1.4855315601453551,0
355500,Tupã,421,8.8,7.13,1411.27,3,63928,6.59,284.22768219161105,1.4812068858098923,2
351890,Guzolândia,28,2.82,0.0,522.39,0,4246,6.59,18.877968004404647,1.483210480781988,0
353625,Parisi,19,8.05,5.26,6580.62,0,2892,6.57,12.858003643131946,1.477678847147378,2
354270,Restinga,42,3.31,2.38,1656.63,0,6404,6.56,28.472564083892454,1.4751042398657839,0
352660,Lavrinhas,47,5.72,10.64,1472.17,0,7171,6.55,31.88269160612005,1.4741540827430675,1
351200,Colina,121,3.07,2.48,836.97,1,18486,6.55,82.18985316284135,1.4722011944742714,0
350460,Bady Bassitt,178,5.29,3.93,2927.25,0,27260,6.53,121.19957790863654,1.4686519794168023,0
351980,Icém,51,4.84,7.84,3290.99,0,7819,6.52,34.763738065577,1.4670459173232615,0
350395,Aspásia,12,4.58,16.67,1999.7,0,1842,6.51,8.189641324567443,1.4652656355049605,1
351670,Garça,274,10.24,7.3,1593.38,3,42110,6.51,187.22355927119165,1.4634910321468328,2
352020,Igaratá,69,4.74,1.45,1599.79,0,10605,6.51,47.15045941750149,1.4634003751485891,0
355120,Sarutaiá,24,5.21,12.5,1167.38,0,3704,6.48,16.468203836155162,1.4573538340173526,1
350750,Botucatu,941,5.74,4.25,2444.48,4,145155,6.48,645.36774509641,1.4580834061662413,0
351250,Coroados,35,6.77,2.86,2263.16,0,5400,6.48,24.008720495474588,1.4578036345834073,2
353040,Mirassolândia,30,5.83,6.67,1830.21,0,4669,6.43,20.75865110988349,1.44518060644685,0
351090,Cássia dos Coqueiros,18,2.56,11.11,1702.12,0,2799,6.43,12.444520123487662,1.446419775241231,0
354360,Rifaina,26,1.31,0.0,697.0,0,4049,6.42,18.00209431225493,1.4442764019017773,0
352700,Lindóia,45,4.33,2.22,1791.64,0,7014,6.42,31.184660288010882,1.443017162425223,0
355600,Urupês,88,4.0,5.68,1977.57,1,13744,6.4,61.106639720333845,1.440105369936045,0
350340,Arealva,52,4.71,9.62,1395.53,1,8130,6.4,36.146462523742294,1.4385916731366046,0
350630,Bernardino de Campos,74,4.05,13.51,1430.8,1,11607,6.38,51.605410887217325,1.4339581591884936,1
354810,Santo Antônio do Jardim,39,10.97,0.0,5771.17,0,6126,6.37,27.236559584310616,1.4318989107003666,2
352260,Itapira,459,7.54,10.02,1747.14,2,72022,6.37,320.21408657871683,1.4334160152169508,1
353940,Piratininga,96,7.81,5.21,1618.22,1,15108,6.35,67.17106467511668,1.4291868152502711,2
353620,Pariquera-Açu,122,4.52,9.02,1107.58,1,19233,6.34,85.51105949804867,1.4267160378568808,0
351780,Guaraçaí,47,3.81,2.13,1191.68,1,7441,6.32,33.083127630893784,1.4206637451082564,0
355090,São Simão,85,3.29,9.41,836.54,1,13442,6.32,59.763929796327666,1.4222625635508832,0
350995,Canas,31,3.74,19.35,674.29,0,4931,6.29,21.92351865984911,1.4140065963395567,1
354660,Santa Fé do Sul,219,5.0,5.48,2098.24,1,34794,6.29,154.6961890591746,1.4156780547207133,0
350745,Borebi,17,5.47,0.0,953.84,0,2713,6.27,12.062159019300474,1.4093662645964593,0
353200,Morungaba,86,2.42,5.81,1060.62,2,13720,6.27,60.99993429590951,1.4098375841327246,0
353240,Nazaré Paulista,114,4.39,7.89,1054.96,1,18217,6.26,80.99386319741863,1.4075140448867156,0
352890,Mariápolis,22,5.32,9.09,636.64,0,3513,6.26,15.619006500111524,1.408540293509892,0
